project,api_name,gold_group,note
JeecgBoot,DELETE /jeecgboot/sys/comment/delete,comment,
JeecgBoot,DELETE /jeecgboot/sys/sysDepartRole/deleteBatch,sysDepartRole,
JeecgBoot,DELETE /jeecgboot/sys/tableWhiteList/delete,tableWhiteList,
JeecgBoot,GET /jeecgboot/sys/checkRule/queryById,checkRule,
JeecgBoot,GET /jeecgboot/sys/fillRule/queryById,fillRule,
JeecgBoot,GET /jeecgboot/sys/getQrcodeToken,sys,
JeecgBoot,GET /jeecgboot/sys/randomImage/{key},randomImage,
JeecgBoot,GET /jeecgboot/sys/sysDepartPermission/queryById,sysDepartPermission,
JeecgBoot,GET /jeecgboot/sys/sysRoleIndex/queryByCode,sysRoleIndex,
JeecgBoot,POST /jeecgboot/sys/comment/addText,comment,
JeecgBoot,POST /jeecgboot/sys/sysRoleIndex/edit,sysRoleIndex,
JeecgBoot,POST /jeecgboot/sys/version/saveVersion,version,
JeecgBoot,PUT /jeecgboot/sys/position/edit,position,
JeecgBoot,PUT /jeecgboot/sys/sysDepartPermission/edit,sysDepartPermission,
JeecgBoot,PUT /jeecgboot/sys/sysRoleIndex/edit,sysroleIndex,
TIME-SEA-chatgpt,GET /admin/orders/page,orders,
TIME-SEA-chatgpt,GET /admin/server/get/config,server,
TIME-SEA-chatgpt,GET /admin/server/get/terminal,server,
TIME-SEA-chatgpt,GET /admin/user/get/count,admins,
TIME-SEA-chatgpt,GET /auth/wechat/code/result,wechat,
TIME-SEA-chatgpt,GET /drawing/image/page,drawing,
TIME-SEA-chatgpt,GET /drawing/random/get/ops,drawing,
TIME-SEA-chatgpt,GET /public/get/announcement,public,
TIME-SEA-chatgpt,GET /user/star/page,star,
TIME-SEA-chatgpt,GET /user/stat/get/data,star,
TIME-SEA-chatgpt,POST /auth/email/enroll,auth,
TIME-SEA-chatgpt,POST /auth/email/password/back,auth,
TIME-SEA-chatgpt,POST /auth/wechat/get/code,auth,
TIME-SEA-chatgpt,POST /drawing/sd/drawing/image,drawing,
TIME-SEA-chatgpt,POST /user/personality/put/config,personality,
crapi,GET /community/api/v2/community/posts/recent,community,
crapi,GET /identity/api/v2/user/videos/{video_id},videos,
crapi,GET /workshop/api/mechanic/mechanic_report,mechanic,
crapi,POST /community/api/v2/coupon/validate-coupon,coupon,
crapi,POST /identity/api/auth/signup,auth,
crapi,POST /identity/api/auth/v2/check-otp,auth,
crapi,POST /identity/api/auth/v3/check-otp,auth,
crapi,POST /identity/api/auth/v4.0/user/login-with-token,user,
crapi,POST /identity/api/v2/user/pictures,user,
crapi,POST /identity/api/v2/user/reset-password,user,
crapi,POST /identity/api/v2/user/verify-email-token,user,
crapi,POST /identity/api/v2/user/videos,videos,
crapi,POST /identity/api/v2/vehicle/resend_email,vehicle,
crapi,POST /workshop/api/merchant/contact_mechanic,merchant,
crapi,POST /workshop/api/shop/orders,shop,
ctfd,GET /api/v1/challenges/{challenge_id},challenges,
ctfd,GET /api/v1/challenges/{challenge_id}/hints,challenges,
ctfd,GET /api/v1/challenges/{challenge_id}/ratings,challenges,
ctfd,GET /api/v1/flags,flags,
ctfd,GET /api/v1/hints,hints,
ctfd,GET /api/v1/notifications,notifications,
ctfd,GET /api/v1/teams/{team_id}/awards,teams,
ctfd,GET /api/v1/users/me/submissions,users,
ctfd,GET /api/v1/users/{user_id}/fails,users,
ctfd,PATCH /api/v1/flags/{flag_id},flags,
ctfd,PATCH /api/v1/hints/{hint_id},hints,
ctfd,PATCH /api/v1/submissions/{submission_id},submissions,
ctfd,PATCH /api/v1/teams/{team_id},teams,
ctfd,POST /api/v1/teams/me/members,teams,
ctfd,POST /api/v1/users/{user_id}/email,users,
easyappointments,DELETE /customers/{customerId},customers,
easyappointments,DELETE /secretaries/{secretaryId},secretaries,
easyappointments,DELETE /unavailabilities/{unavailabilityId},unavailabilities,
easyappointments,DELETE /webhooks/{webhookId},webhooks,
easyappointments,GET /customers/{customerId},customers,
easyappointments,GET /secretaries/{secretaryId},secretaries,
easyappointments,GET /service_categories/{serviceCategoryId},service_categories,
easyappointments,GET /webhooks,webhooks,
easyappointments,POST /secretaries,secretaries,
easyappointments,POST /service_categories,service_categories,
easyappointments,POST /services,services,
easyappointments,POST /webhooks,webhooks,
easyappointments,PUT /admins/{adminId},admins,
easyappointments,PUT /appointments/{appointmentId},appointments,
easyappointments,PUT /providers/{providerId},providers,
gin-vue-admin,GET /attachmentCategory/getCategoryList,attachmentCategory,
gin-vue-admin,GET /fileUploadAndDownload/findFile,fileUploadAndDownload,
gin-vue-admin,GET /info/getInfoDataSource,info,
gin-vue-admin,GET /info/getInfoList,info,
gin-vue-admin,GET /sysExportTemplate/exportExcelByToken,sysExportTemplate,
gin-vue-admin,GET /sysParams/getSysParamsList,sysParams,
gin-vue-admin,POST /api/getApiList,api,
gin-vue-admin,POST /authority/createAuthority,authority,
gin-vue-admin,POST /email/emailTest,email,
gin-vue-admin,POST /fileUploadAndDownload/breakpointContinue,fileUploadAndDownload,
gin-vue-admin,POST /menu/getMenu,menu,
gin-vue-admin,POST /menu/updateBaseMenu,menu,
gin-vue-admin,POST /sysVersion/importVersion,sysversion,
gin-vue-admin,PUT /sysDictionaryDetail/updateSysDictionaryDetail,sysDictionaryDetail,
gin-vue-admin,PUT /user/setUserInfo,user,
gin-vue-blog,DELETE /category,category,
gin-vue-blog,DELETE /comment,comment,
gin-vue-blog,DELETE /page,page,
gin-vue-blog,GET /message/list,message,
gin-vue-blog,GET /operation/log/list,operation,
gin-vue-blog,GET /role/option,role,
gin-vue-blog,GET /tag/list,tag,
gin-vue-blog,GET /tag/option,tag,
gin-vue-blog,POST /category,category,
gin-vue-blog,POST /link,link,
gin-vue-blog,POST /login,login,
gin-vue-blog,POST /register,register,
gin-vue-blog,POST /tag,tag,
gin-vue-blog,PUT /comment/review,comment,
gin-vue-blog,PUT /message/review,message,
mall,GET /member/attention/detail,attention,
mall,GET /order/detail/{orderId},orders,
mall,GET /order/list,orders,
mall,GET /product/categoryTreeList,product,
mall,POST /cart/add,cart,
mall,POST /member/address/add,address,
mall,POST /member/address/update/{id},address,
mall,POST /member/attention/clear,attention,
mall,POST /member/coupon/add/{couponId},coupon,
mall,POST /member/productCollection/clear,productCollection,
mall,POST /order/confirmReceiveOrder,orders,
mall,POST /order/generateOrder,orders,
mall,POST /order/paySuccess,orders,
mall,POST /sso/login,sso,
mall,POST /sso/updatePassword,sso,
mall-swarm,GET /brand/recommendList,brand,
mall-swarm,GET /cart/list,cart,
mall-swarm,GET /member/attention/detail,member,
mall-swarm,GET /member/coupon/listHistory,member,
mall-swarm,GET /member/productCollection/list,member,
mall-swarm,GET /order/detail/{orderId},order,
mall-swarm,GET /product/categoryTreeList,product,
mall-swarm,GET /product/detail/{id},product,
mall-swarm,GET /product/search,product,
mall-swarm,POST /cart/delete,cart,
mall-swarm,POST /member/address/add,member,
mall-swarm,POST /member/attention/add,member,
mall-swarm,POST /order/generateOrder,order,
mall-swarm,POST /order/paySuccess,order,
mall-swarm,POST /sso/updatePassword,sso,
newbee-mall-plus,DELETE /api/v1/coupon/{couponUserId},coupon,
newbee-mall-plus,GET /api/v1/coupons,coupon,
newbee-mall-plus,GET /api/v1/index,index,
newbee-mall-plus,GET /api/v1/orders,orders,
newbee-mall-plus,GET /api/v1/orders/{orderNo},orders,
newbee-mall-plus,GET /api/v1/personal,personal,
newbee-mall-plus,GET /api/v1/returnOrders/{orderNo}/{userId},returnOrders,
newbee-mall-plus,GET /api/v1/seckill/list,seckill,
newbee-mall-plus,GET /api/v1/seckill/time/now,seckill,
newbee-mall-plus,GET /api/v1/seckill/{seckillId},seckill,
newbee-mall-plus,GET /api/v1/shop-cart,shop-cart,
newbee-mall-plus,GET /api/v1/shop-cart/settle,shop-cart,
newbee-mall-plus,POST /api/v1/coupon/{couponId},coupon,
newbee-mall-plus,POST /api/v1/logout,logout,
newbee-mall-plus,POST /api/v1/seckill/{seckillId}/exposer,seckill,
newbee_mall,GET /api/v1/address,address,
newbee_mall,GET /api/v1/paySuccess,paySuccess,
newbee_mall,GET /manage-api/v1/carousels,1,
newbee_mall,GET /manage-api/v1/categories4Select,1,
newbee_mall,GET /manage-api/v1/goods/{id},1,
newbee_mall,GET /manage-api/v1/indexConfigs/{id},1,
newbee_mall,GET /manage-api/v1/orders,1,
newbee_mall,GET /manage-api/v1/users,1,
newbee_mall,POST /api/v1/address,7,
newbee_mall,POST /api/v1/user/logins,8,
newbee_mall,POST /manage-api/v1/adminUser/login,9,
newbee_mall,POST /manage-api/v1/carousels,1,
newbee_mall,PUT /api/v1/address,7,
newbee_mall,PUT /api/v1/order/{orderNo}/finish,5,
newbee_mall,PUT /manage-api/v1/goods,3,
openemr,DELETE /apis/default/api/patient/{pid}/message/{mid},1,
openemr,GET /apis/default/api/immunization/{uuid},2,
openemr,GET /apis/default/api/patient/{pid}/document,1,
openemr,GET /apis/default/api/patient/{puuid}/medical_problem,1,
openemr,GET /apis/default/api/patient/{puuid}/medical_problem/{muuid},1,
openemr,GET /apis/default/api/product,3,
openemr,GET /apis/default/api/version,4,
openemr,GET /apis/default/fhir/CarePlan,5,
openemr,GET /apis/default/fhir/OperationDefinition,5,
openemr,GET /apis/default/fhir/OperationDefinition/{operation},5,
openemr,GET /apis/default/fhir/Person/{uuid},5,
openemr,GET /apis/default/fhir/Provenance,5,
openemr,GET /apis/default/fhir/Specimen/{uuid},5,
openemr,PUT /apis/default/api/patient/{puuid}/allergy/{auuid},1,
openemr,PUT /apis/default/api/patient/{puuid}/medical_problem/{muuid},1,
pybbs,DELETE /api/collect/{topicId},1,
pybbs,DELETE /api/comment/{id},2,
pybbs,DELETE /api/topic,3,
pybbs,GET /api/comment/{id}/vote,2,
pybbs,GET /api/notification/list,5,
pybbs,GET /api/notification/markRead,5,
pybbs,GET /api/sendEmailCode,api,
pybbs,GET /api/settings/refreshToken,7,
pybbs,GET /api/settings/sendActiveEmail,7,
pybbs,GET /api/topic/{id},3,
pybbs,POST /api/mobile_login,api,
pybbs,POST /api/tags,9,
pybbs,POST /api/upload,api,
pybbs,PUT /api/comment/{id},2,
pybbs,PUT /api/topic,3,
youlai-mall,DELETE /mall-sms/api/v1/adverts/{ids},adverts,
youlai-mall,GET /mall-oms/api/v1/orders/{orderId},orders,
youlai-mall,GET /mall-oms/app-api/v1/carts,carts,
youlai-mall,GET /mall-pms/api/v1/categories/{id},categories,
youlai-mall,GET /mall-pms/app-api/v1/categories,categories,
youlai-mall,GET /mall-sms/api/v1/coupons/{couponId}/form_data,coupons,
youlai-mall,GET /mall-ums/app-api/v1/members/me,members,
youlai-mall,PATCH /mall-pms/api/v1/categories/{id},categories,
youlai-mall,POST /mall-oms/app-api/v1/orders/submit,orders,
youlai-mall,POST /mall-oms/callback-api/v1/wx-pay/notify-refund-v3,wx-pay,
youlai-mall,POST /mall-pms/api/v1/attributes/batch,arrtibutes,
youlai-mall,PUT /mall-oms/app-api/v1/carts/skuId/{skuId},carts,
youlai-mall,PUT /mall-pms/api/v1/brands/{id},brands,
youlai-mall,PUT /mall-pms/app-api/v1/skus/deduct,skus,
youlai-mall,PUT /mall-ums/api/v1/members/{memberId},members,
