sample_id,tool,project,target_api,候选序列1,候选序列2,候选序列3,label
C001,gpt-4o-mini CADS,JeecgBoot,DELETE /jeecgboot/sys/comment/delete,POST /jeecgboot/sys/phoneLogin -> POST /jeecgboot/sys/login -> POST /online/cgform/api/aigc -> POST /jeecgboot/sys/tableWhiteList/add -> POST /jeecgboot/sys/sysRoleIndex/add -> GET /jeecgboot/sys/sysRoleIndex/list -> POST /jeecgboot/sys/sysDepartRole/add -> GET /jeecgboot/sys/sysDepartRole/list -> POST /jeecgboot/sys/sysDepartPermission/add -> GET /jeecgboot/sys/sysDepartPermission/list -> POST /jeecgboot/sys/formFile/add -> GET /jeecgboot/sys/formFile/list -> POST /jeecgboot/sys/fillRule/add -> GET /jeecgboot/sys/fillRule/list -> POST /jeecgboot/sys/comment/appAddFile -> POST /jeecgboot/sys/comment/add -> POST /jeecgboot/sys/comment/addText -> POST /jeecgboot/sys/comment/addFile -> GET /jeecgboot/sys/comment/list -> POST /jeecgboot/sys/checkRule/add -> GET /jeecgboot/sys/checkRule/list -> POST /jeecgboot/sys/dataSource/add -> POST /jeecgboot/sys/position/add -> DELETE /jeecgboot/sys/comment/delete,,,0
C002,gpt-4o-mini CADS,JeecgBoot,DELETE /jeecgboot/sys/comment/deleteOne,POST /jeecgboot/sys/phoneLogin -> POST /jeecgboot/sys/login -> POST /online/cgform/api/aigc -> POST /jeecgboot/sys/tableWhiteList/add -> POST /jeecgboot/sys/sysRoleIndex/add -> GET /jeecgboot/sys/sysRoleIndex/list -> POST /jeecgboot/sys/sysDepartRole/add -> GET /jeecgboot/sys/sysDepartRole/list -> POST /jeecgboot/sys/sysDepartPermission/add -> GET /jeecgboot/sys/sysDepartPermission/list -> POST /jeecgboot/sys/formFile/add -> GET /jeecgboot/sys/formFile/list -> POST /jeecgboot/sys/fillRule/add -> GET /jeecgboot/sys/fillRule/list -> POST /jeecgboot/sys/comment/appAddFile -> POST /jeecgboot/sys/comment/add -> POST /jeecgboot/sys/comment/addText -> POST /jeecgboot/sys/comment/addFile -> GET /jeecgboot/sys/comment/list -> POST /jeecgboot/sys/checkRule/add -> GET /jeecgboot/sys/checkRule/list -> POST /jeecgboot/sys/dataSource/add -> POST /jeecgboot/sys/position/add -> DELETE /jeecgboot/sys/comment/deleteOne,,,1
C003,gpt-4o-mini CADS,JeecgBoot,GET /jeecgboot/sys/tableWhiteList/queryById,POST /jeecgboot/sys/comment/appAddFile -> POST /jeecgboot/sys/comment/addFile -> GET /jeecgboot/sys/comment/list -> POST /jeecgboot/sys/phoneLogin -> POST /jeecgboot/sys/login -> POST /online/cgform/api/aigc -> POST /jeecgboot/sys/sysRoleIndex/add -> GET /jeecgboot/sys/sysRoleIndex/list -> POST /jeecgboot/sys/sysDepartRole/add -> GET /jeecgboot/sys/sysDepartRole/list -> POST /jeecgboot/sys/sysDepartPermission/add -> GET /jeecgboot/sys/sysDepartPermission/list -> POST /jeecgboot/sys/formFile/add -> GET /jeecgboot/sys/formFile/list -> POST /jeecgboot/sys/fillRule/add -> GET /jeecgboot/sys/fillRule/list -> POST /jeecgboot/sys/comment/add -> POST /jeecgboot/sys/comment/addText -> POST /jeecgboot/sys/comment/add -> POST /jeecgboot/sys/comment/addText -> POST /jeecgboot/sys/checkRule/add -> GET /jeecgboot/sys/checkRule/list -> POST /jeecgboot/sys/dataSource/add -> POST /jeecgboot/sys/position/add -> POST /jeecgboot/sys/tableWhiteList/add -> GET /jeecgboot/sys/tableWhiteList/queryById,,,1
C004,gpt-4o-mini CADS,JeecgBoot,PUT /jeecgboot/sys/checkRule/edit,POST /jeecgboot/sys/comment/appAddFile -> POST /jeecgboot/sys/comment/addFile -> GET /jeecgboot/sys/comment/list -> POST /jeecgboot/sys/phoneLogin -> POST /jeecgboot/sys/login -> POST /online/cgform/api/aigc -> POST /jeecgboot/sys/sysRoleIndex/add -> GET /jeecgboot/sys/sysRoleIndex/list -> POST /jeecgboot/sys/sysDepartRole/add -> GET /jeecgboot/sys/sysDepartRole/list -> POST /jeecgboot/sys/sysDepartPermission/add -> GET /jeecgboot/sys/sysDepartPermission/list -> POST /jeecgboot/sys/formFile/add -> GET /jeecgboot/sys/formFile/list -> POST /jeecgboot/sys/fillRule/add -> GET /jeecgboot/sys/fillRule/list -> POST /jeecgboot/sys/comment/appAddFile -> POST /jeecgboot/sys/comment/add -> POST /jeecgboot/sys/comment/addText -> POST /jeecgboot/sys/comment/addFile -> GET /jeecgboot/sys/comment/list -> POST /jeecgboot/sys/checkRule/add -> GET /jeecgboot/sys/checkRule/list -> GET /jeecgboot/sys/position/list -> POST /jeecgboot/sys/tableWhiteList/add -> POST /jeecgboot/sys/position/add -> POST /jeecgboot/sys/dataSource/add -> PUT /jeecgboot/sys/checkRule/edit,POST /jeecgboot/sys/comment/appAddFile -> POST /jeecgboot/sys/comment/addFile -> GET /jeecgboot/sys/comment/list -> POST /jeecgboot/sys/phoneLogin -> POST /jeecgboot/sys/login -> POST /online/cgform/api/aigc -> POST /jeecgboot/sys/sysRoleIndex/add -> GET /jeecgboot/sys/sysRoleIndex/list -> POST /jeecgboot/sys/sysDepartRole/add -> GET /jeecgboot/sys/sysDepartRole/list -> POST /jeecgboot/sys/sysDepartPermission/add -> GET /jeecgboot/sys/sysDepartPermission/list -> POST /jeecgboot/sys/formFile/add -> GET /jeecgboot/sys/formFile/list -> POST /jeecgboot/sys/fillRule/add -> GET /jeecgboot/sys/fillRule/list -> POST /jeecgboot/sys/comment/appAddFile -> POST /jeecgboot/sys/comment/add -> POST /jeecgboot/sys/comment/addText -> POST /jeecgboot/sys/comment/addFile -> GET /jeecgboot/sys/comment/list -> POST /jeecgboot/sys/checkRule/add -> GET /jeecgboot/sys/checkRule/list -> POST /jeecgboot/sys/position/add -> GET /jeecgboot/sys/position/list -> POST /jeecgboot/sys/tableWhiteList/add -> POST /jeecgboot/sys/dataSource/add -> PUT /jeecgboot/sys/checkRule/edit,,1
C005,gpt-4o-mini CADS,TIME-SEA-chatgpt,GET /auth/email/code/{email},POST /user/wechat/bind -> GET /auth/email/code/{email},POST /pay/alipay/pay/{productId} -> GET /pay/product/list -> GET /pay/orders/page -> POST /inspirit/reward/video -> POST /inspirit/reward/signIn -> POST /drawing/sd/drawing/image -> POST /drawing/sd/wechat/image -> POST /admin/sd/put/data -> POST /drawing/sd/drawing/image -> POST /drawing/sd/wechat/image -> POST /admin/sd/put/data -> POST /drawing/gpt/text -> GET /admin/sd/page/model -> POST /admin/exchange/build -> GET /admin/exchange/get/page -> POST /user/wechat/bind -> GET /admin/user/get/page -> GET /user/drawing/page -> POST /auth/wechat/login -> POST /auth/email/enroll -> GET /auth/email/code/{email},,1
C006,gpt-4o-mini CADS,TIME-SEA-chatgpt,POST /auth/email/login,POST /user/wechat/bind -> POST /auth/email/login,POST /pay/alipay/pay/{productId} -> GET /pay/product/list -> GET /pay/orders/page -> POST /inspirit/reward/video -> POST /inspirit/reward/signIn -> POST /drawing/sd/drawing/image -> POST /drawing/sd/wechat/image -> POST /admin/sd/put/data -> POST /drawing/sd/drawing/image -> POST /drawing/sd/wechat/image -> POST /admin/sd/put/data -> POST /drawing/gpt/text -> GET /admin/sd/page/model -> POST /admin/exchange/build -> GET /admin/exchange/get/page -> POST /user/wechat/bind -> GET /admin/user/get/page -> GET /user/drawing/page -> POST /auth/wechat/login -> POST /auth/email/enroll -> POST /auth/email/login,,1
C007,gpt-4o-mini CADS,crapi,DELETE /identity/api/v2/user/videos/{video_id},POST /identity/api/v2/user/videos -> DELETE /identity/api/v2/user/videos/{video_id},,,0
C008,gpt-4o-mini CADS,crapi,GET /workshop/api/mechanic/receive_report,POST /identity/api/v2/vehicle/add_vehicle -> GET /workshop/api/mechanic/receive_report,POST /workshop/api/merchant/contact_mechanic -> GET /workshop/api/mechanic/receive_report,POST /community/api/v2/community/posts/{postId}/comment -> GET /community/api/v2/community/posts/recent -> POST /community/api/v2/community/posts -> POST /identity/api/v2/user/videos -> POST /workshop/api/mechanic/signup -> GET /workshop/api/mechanic/receive_report,1
C009,gpt-4o-mini CADS,crapi,POST /community/api/v2/coupon/validate-coupon,POST /community/api/v2/coupon/new-coupon -> POST /community/api/v2/coupon/validate-coupon,,,1
C010,gpt-4o-mini CADS,crapi,POST /identity/api/v2/user/verify-email-token,POST /community/api/v2/community/posts/{postId}/comment -> GET /community/api/v2/community/posts/recent -> POST /community/api/v2/community/posts -> POST /identity/api/v2/user/videos -> POST /identity/api/auth/login -> POST /identity/api/v2/user/verify-email-token,,,1
