id,Project,type,Api,parameters,status,CVE,root cause
1,TIME_SEA_PLUS,TIP,POST /pay/alipay/status/{orderId} ,orderId,accepted,CVE-2025-12***,Payment-status lookup does not check whether the order selected by the substituted orderId is within the current requester's authorized scope.
2,newbee-mall-plus,SIDP-side,POST /seckillExecution/24/15/1ff1de774005f8da13f42943881c655f,userId,accepted,CVE-2025-12***,"The purchasing user identified by userId is not bound to the current requester through an authorization check. With seckillId and md5 fixed, substituting userId allows a flash-sale purchase to be executed as another user."
3,mall-swarm,TIP,POST /cart/update/attr,id,accepted,CVE-2025-13***,Cart-item updates do not check whether the item selected by the substituted id belongs to the current requester.
4,mall-swarm,TIP,GET /order/detail/{orderId},orderId,accepted,CVE-2025-13***,Order-detail lookup does not check whether the current requester is authorized to access the order selected by the substituted orderId.
5,mall-swarm,TIP,POST /order/cancelOrder,orderId,accepted,CVE-2025-13***,"Before queuing an order cancellation, the handler does not check whether the current requester may cancel the order selected by the substituted orderId."
6,mall-swarm,TIP,POST /order/cancelUserOrder,orderId,accepted,CVE-2025-13***,Order cancellation does not check whether the order selected by the substituted orderId belongs to the current requester.
7,mall-swarm,TIP,POST /order/paySuccess,orderId,accepted,CVE-2025-13***,"Before marking an order as paid, the handler does not check whether the current requester may modify the order selected by the substituted orderId and its payment status."
8,mall-swarm,TIP,POST /member/readHistory/delete HTTP/1.1,ids,accepted,CVE-2025-14***,Browsing-history deletion does not check whether each record selected by the substituted ids belongs to the current requester.
9,mall-swarm,TIP,POST /member/address/update/{id},memberId,merged,,Address updates check ownership of the original address but do not check whether the requester may reassign it to another member by substituting memberId.
10,youlai-mall,TIP,GET /mall-ums/app-api/v1/addresses/{addressId},addressId,accepted,CVE-2025-14***,Shipping-address lookup does not check whether the current requester may access the address selected by the substituted addressId.
11,youlai-mall,SIDP-side,PUT /mall-ums/app-api/v1/addresses/{addressId},id,merged,,"With the path addressId fixed, substituting only the body id still updates the address selected by the substituted id. The fixed addressId is ignored, and neither consistency between the two identifiers nor ownership of the target address is checked."
12,youlai-mall,TIP,DELETE /mall-ums/app-api/v1/addresses/{ids},ids,merged,,Shipping-address deletion does not check whether each address selected by the substituted ids belongs to the current requester.
13,youlai-mall,TIP,GET /mall-ums/app-api/v1/members/{memberId}/openid,memberId,accepted,CVE-2025-14***,"Before returning a member's openid, the handler does not check whether the current requester may access the member information selected by the substituted memberId."
14,youlai-mall,TIP,PUT /mall-ums/app-api/v1/members/{memberId}/balances/_deduct,memberId,merged,,"The amount-based controller handler directly updates the balance of the account selected by the substituted memberId without checking the requester's authority over that account; it also lacks positive-amount validation, allowing negative amounts to increase the balance."
15,youlai-mall,TIP,DELETE /mall-oms/app-api/v1/orders/{orderId},orderId,accepted,CVE-2025-14***,"The deleteOrder handler checks that the selected order exists and is unpaid or canceled, but does not verify that the order selected by the substituted orderId belongs to the current requester before deleting it."
16,youlai-mall,TIP,POST /mall-oms/app-api/v1/orders/payment,orderSn,accepted,CVE-2025-15***,"In the BALANCE payment branch, the substituted orderSn selects another user's order and causes that order owner's balance to be debited without checking the current requester's authority over the order or payment account."
17,youlai-mall,TIP,GET /mall-ums/app-api/v1/members/openid/{openid},openid,accepted,CVE-2025-14***,Returning member authentication information selected by a substituted openid does not require a check of the current requester's authority to access that member's private information.
18,youlai-mall,TIP,PUT /mall-ums/app-api/v1/members/{memberId}/balances/_deduct,memberId,accepted,CVE-2025-15***,The balance-based service handler deducts the supplied balance from the account selected by the substituted memberId without checking whether the current requester is authorized to debit that account.
19,youlai-mall,TIP,GET /mall-ums/app-api/v1/members/mobile/{mobile},mobile,accepted,CVE-2025-15***,Returning member authentication information selected by a substituted mobile does not require a check of the current requester's authority to access that member's private information.
20,youlai-mall,TIP,POST /mall-ums/app-api/v1/members/openid/{openid},openid,merged,,Returning member authentication information selected by a substituted openid does not require a check of the current requester's authority to access that member's private information.
21,youlai-mall,TIP,DELETE /mall-oms/app-api/v1/orders/{orderId},orderId,merged,,"The deleteById handler directly removes the order selected by the substituted orderId through removeById, without checking order status or verifying that the order belongs to the current requester."
22,youlai-mall,TIP,POST /mall-oms/app-api/v1/orders/payment,orderSn,accepted,CVE-2025-15***,"In the WX_JSAPI payment branch, the substituted orderSn selects another user's order and allows a third-party payment session to be initiated and payment information to be obtained without checking the current requester's authority over that order."
23,JeecgBoot,SIDP-side,GET /sys/sysDepartRole/list?deptId,deptId,accepted,CVE-2025-15***,Substituting only deptId still allows roles in the substituted department to be queried because the handler does not check whether that department is within the current requester's authorized scope.
24,JeecgBoot,SIDP-side,GET /sys/sysDepartRole/getDeptRoleList?departId=...&userId=,departId,accepted,CVE-2025-15***,"With userId fixed, substituting only departId still returns roles for the substituted department. The fixed userId is ignored rather than used to constrain the query, and the current requester's authority to access that department is not checked."
25,JeecgBoot,SIDP-side,GET /sys/sysDepartRole/getDeptRoleByUserId?userId=...&departId=...,userId; departId,accepted,CVE-2025-15***,"With userId fixed, substituting only departId still allows that user's roles in the substituted department to be queried. Although the query retains the user-role and role-department constraints, it does not check whether the current requester may access that user's role information in that department."
26,JeecgBoot,SIDP-side,GET /sys/sysDepartRole/datarule/{permissionId}/{departId}/{roleId},permissionId; departId; roleId,accepted,CVE-2025-15***,"With permissionId and roleId fixed, substituting only departId still returns the data-rule selections for the fixed role and permission because the handler does not check whether roleId belongs to the substituted department."
27,JeecgBoot,SIDP-side,GET /sys/sysDepartPermission/datarule/{permissionId}/{departId},permissionId; departId,accepted,CVE-2025-15***,"With permissionId fixed, substituting only departId still returns the permission's data rules even when that permission is not assigned to the substituted department. The permissionId-to-departId assignment is not enforced."
28,JeecgBoot,SIDP-side,GET /sys/sysDepartPermission/list?departId=...&pageNo=1&pageSize=10,departId,accepted,CVE-2025-15***,"With pagination parameters unchanged, substituting only departId still allows the substituted department's permission list to be queried because the current requester's authority to access that department is not checked."
29,JeecgBoot,SIDP-side,GET /sys/permission/queryDepartPermission?departId=...,departId,accepted,CVE-2025-15***,Substituting only departId still allows the substituted department's permission information to be queried because the current requester's authority to access that department is not checked.
30,JeecgBoot,SIDP-side,GET /sys/position/getPositionUserList?positionId=...&pageNo=1&pageSize=10,positionId,accepted,CVE-2025-15***,"With pagination parameters unchanged, substituting only positionId still allows the substituted position's user list to be queried because the handler does not check whether that position is within the current requester's authorized tenant or department scope."
31,JeecgBoot,SIDP-side,POST /jeecgboot/sys/position/savePositionUser?positionId=...&userIds=...,positionId; userIds,merged,,"With userIds fixed, substituting only positionId still allows those users to be added to the substituted position because the handler does not check whether the position and fixed users are within the organizational scope the current requester may manage."
32,JeecgBoot,SIDP-side,DELETE /jeecgboot/sys/position/removePositionUser?positionId=...&userIds=...,positionId; userIds,merged,,"With userIds fixed, substituting only positionId still allows existing associations between those users and the substituted position to be deleted because the handler does not check whether the current requester may remove those users from that position."
33,JeecgBoot,SIDP-side,POST /jeecgboot/sys/sysDepartPermission/datarule,departId,merged,,"With permissionId and dataRuleIds fixed, substituting only the body departId directly saves the fixed data rules whenever the substituted department already has the menu-permission assignment. The handler does not check whether the requester may manage that department or apply those rules within its scope."
34,JeecgBoot,SIDP-side,POST /jeecgboot/sys/sysDepartRole/datarule,roleId,merged,,"With permissionId and dataRuleIds fixed, substituting only the body roleId directly saves the fixed data rules whenever the substituted role already has the menu-permission assignment. The handler does not check whether the requester may manage that role or whether those rules are within the scope allowed for its department."
35,JeecgBoot,SIDP-side,POST /jeecgboot/sys/sysDepartPermission/saveDeptRolePermission,roleId,merged,,"With permissionIds and lastpermissionIds fixed, substituting only the body roleId still adds or removes permission assignments for the substituted role according to the differences between the two fixed lists. The handler does not check whether the requester may manage that role or whether those permissions are within its department's authorized scope."
36,gin_vue_admin,TIP,GET /customer/customer ,ID,merged,,Customer lookup does not check whether the customer selected by the substituted ID is within the data scope the current requester may access.
37,gin_vue_admin,TIP,PUT /customer/customer,ID,merged,,Customer updates do not check whether the customer selected by the substituted ID is within the data scope the current requester may modify.
38,gin_vue_admin,TIP,DELETE /customer/customer,ID,merged,,Customer deletion does not check whether the customer selected by the substituted ID is within the data scope the current requester may delete.
39,gin_vue_admin,TIP,GET /sysOperationRecord/findSysOperationRecord,ID,merged,,Operation-log lookup does not check whether the record selected by the substituted ID is within the data scope the current requester may access.
