project-name,interface,parameter
crapi,DELETE /identity/api/v2/admin/videos/{video_id},video_id
crapi,DELETE /identity/api/v2/user/videos/{video_id},video_id
crapi,GET /community/api/v2/community/posts/{postId},postId
crapi,GET /identity/api/v2/user/videos/convert_video,video_id
crapi,GET /identity/api/v2/user/videos/{video_id},video_id
crapi,GET /identity/api/v2/vehicle/{vehicleId}/location,vehicleId
crapi,GET /workshop/api/mechanic/mechanic_report,report_id
crapi,GET /workshop/api/shop/orders/{order_id},order_id
crapi,POST /community/api/v2/community/posts/{postId}/comment,postId
crapi,POST /identity/api/auth/forget-password,email
crapi,POST /identity/api/auth/login,email
crapi,POST /identity/api/auth/signup,email
crapi,POST /identity/api/auth/v2.7/user/login-with-token,email
crapi,POST /identity/api/auth/v2.7/user/login-with-token,token
crapi,POST /identity/api/auth/v2/check-otp,email
crapi,POST /identity/api/auth/v3/check-otp,email
crapi,POST /identity/api/auth/v4.0/user/login-with-token,email
crapi,POST /identity/api/auth/v4.0/user/login-with-token,token
crapi,POST /identity/api/v2/user/reset-password,email
crapi,POST /identity/api/v2/user/verify-email-token,token
crapi,POST /workshop/api/mechanic/signup,email
crapi,POST /workshop/api/shop/orders,product_id
crapi,POST /workshop/api/shop/orders/return_order,order_id
crapi,PUT /identity/api/v2/user/videos/{video_id},id
crapi,PUT /identity/api/v2/user/videos/{video_id},video_id
crapi,PUT /workshop/api/shop/orders/{order_id},order_id
crapi,PUT /workshop/api/shop/orders/{order_id},product_id
ctfd,DELETE /api/v1/awards/{award_id},award_id
ctfd,DELETE /api/v1/brackets/{bracket_id},bracket_id
ctfd,DELETE /api/v1/challenges/{challenge_id},challenge_id
ctfd,DELETE /api/v1/comments/{comment_id},comment_id
ctfd,DELETE /api/v1/configs/fields/{field_id},field_id
ctfd,DELETE /api/v1/configs/{config_key},config_key
ctfd,DELETE /api/v1/files/{file_id},file_id
ctfd,DELETE /api/v1/flags/{flag_id},flag_id
ctfd,DELETE /api/v1/hints/{hint_id},hint_id
ctfd,DELETE /api/v1/notifications/{notification_id},notification_id
ctfd,DELETE /api/v1/pages/{page_id},page_id
ctfd,DELETE /api/v1/solutions/{solution_id},solution_id
ctfd,DELETE /api/v1/submissions/{submission_id},submission_id
ctfd,DELETE /api/v1/tags/{tag_id},tag_id
ctfd,DELETE /api/v1/teams/me,team_id
ctfd,DELETE /api/v1/teams/{team_id},team_id
ctfd,DELETE /api/v1/teams/{team_id}/members,team_id
ctfd,DELETE /api/v1/tokens/{token_id},token_id
ctfd,DELETE /api/v1/topics,target_id
ctfd,DELETE /api/v1/topics/{topic_id},topic_id
ctfd,DELETE /api/v1/users/{user_id},user_id
ctfd,GET /api/v1/awards,team_id
ctfd,GET /api/v1/awards,user_id
ctfd,GET /api/v1/awards/{award_id},award_id
ctfd,GET /api/v1/challenges/{challenge_id},challenge_id
ctfd,GET /api/v1/challenges/{challenge_id}/files,challenge_id
ctfd,GET /api/v1/challenges/{challenge_id}/flags,challenge_id
ctfd,GET /api/v1/challenges/{challenge_id}/hints,challenge_id
ctfd,GET /api/v1/challenges/{challenge_id}/ratings,challenge_id
ctfd,GET /api/v1/challenges/{challenge_id}/requirements,challenge_id
ctfd,GET /api/v1/challenges/{challenge_id}/solves,challenge_id
ctfd,GET /api/v1/challenges/{challenge_id}/tags,challenge_id
ctfd,GET /api/v1/challenges/{challenge_id}/topics,challenge_id
ctfd,GET /api/v1/comments,challenge_id
ctfd,GET /api/v1/comments,page_id
ctfd,GET /api/v1/comments,team_id
ctfd,GET /api/v1/comments,user_id
ctfd,GET /api/v1/configs,key
ctfd,GET /api/v1/configs/fields/{field_id},field_id
ctfd,GET /api/v1/configs/{config_key},config_key
ctfd,GET /api/v1/files/{file_id},file_id
ctfd,GET /api/v1/flags,challenge_id
ctfd,GET /api/v1/flags/{flag_id},flag_id
ctfd,GET /api/v1/hints,challenge_id
ctfd,GET /api/v1/hints/{hint_id},hint_id
ctfd,GET /api/v1/notifications,since_id
ctfd,GET /api/v1/notifications,team_id
ctfd,GET /api/v1/notifications,user_id
ctfd,GET /api/v1/notifications/{notification_id},notification_id
ctfd,GET /api/v1/pages,id
ctfd,GET /api/v1/pages/{page_id},page_id
ctfd,GET /api/v1/solutions/{solution_id},solution_id
ctfd,GET /api/v1/submissions,challenge_id
ctfd,GET /api/v1/submissions,team_id
ctfd,GET /api/v1/submissions,user_id
ctfd,GET /api/v1/submissions/{submission_id},submission_id
ctfd,GET /api/v1/tags,challenge_id
ctfd,GET /api/v1/tags/{tag_id},tag_id
ctfd,GET /api/v1/teams/me,team_id
ctfd,GET /api/v1/teams/{team_id},team_id
ctfd,GET /api/v1/teams/{team_id}/awards,team_id
ctfd,GET /api/v1/teams/{team_id}/fails,team_id
ctfd,GET /api/v1/teams/{team_id}/members,team_id
ctfd,GET /api/v1/teams/{team_id}/solves,team_id
ctfd,GET /api/v1/tokens/{token_id},token_id
ctfd,GET /api/v1/topics/{topic_id},topic_id
ctfd,GET /api/v1/unlocks,team_id
ctfd,GET /api/v1/unlocks,user_id
ctfd,GET /api/v1/users/me/awards,user_id
ctfd,GET /api/v1/users/{user_id},user_id
ctfd,GET /api/v1/users/{user_id}/awards,user_id
ctfd,GET /api/v1/users/{user_id}/fails,user_id
ctfd,GET /api/v1/users/{user_id}/solves,user_id
ctfd,HEAD /api/v1/notifications,since_id
ctfd,HEAD /api/v1/notifications,team_id
ctfd,HEAD /api/v1/notifications,user_id
ctfd,PATCH /api/v1/brackets/{bracket_id},bracket_id
ctfd,PATCH /api/v1/challenges/{challenge_id},challenge_id
ctfd,PATCH /api/v1/configs/fields/{field_id},field_id
ctfd,PATCH /api/v1/configs/{config_key},config_key
ctfd,PATCH /api/v1/flags/{flag_id},flag_id
ctfd,PATCH /api/v1/hints/{hint_id},hint_id
ctfd,PATCH /api/v1/pages/{page_id},page_id
ctfd,PATCH /api/v1/solutions/{solution_id},solution_id
ctfd,PATCH /api/v1/submissions/{submission_id},submission_id
ctfd,PATCH /api/v1/tags/{tag_id},tag_id
ctfd,PATCH /api/v1/teams/me,team_id
ctfd,PATCH /api/v1/teams/{team_id},team_id
ctfd,PATCH /api/v1/users/{user_id},user_id
ctfd,POST /api/v1/files,challenge_id
ctfd,POST /api/v1/files,page_id
ctfd,POST /api/v1/files,solution_id
ctfd,POST /api/v1/solutions,challenge_id
ctfd,POST /api/v1/submissions,challenge_id
ctfd,POST /api/v1/submissions,team_id
ctfd,POST /api/v1/submissions,user_id
ctfd,POST /api/v1/teams/{team_id}/members,team_id
ctfd,POST /api/v1/users/{user_id}/email,user_id
ctfd,PUT /api/v1/challenges/{challenge_id}/ratings,challenge_id
easyappointments,DELETE /admins/{adminId},adminId
easyappointments,DELETE /appointments/{appointmentId},appointmentId
easyappointments,DELETE /customers/{customerId},customerId
easyappointments,DELETE /providers/{providerId},providerId
easyappointments,DELETE /secretaries/{secretaryId},secretaryId
