project,api_name,parameter_name,gold_replace_para,gold_keep_pra,is_mapping_correct,note
JeecgBoot,GET /jeecgboot/sys/version/app3version,result.id,"[""id"", ""result.id""]","[""version_id"", ""id""]",,
JeecgBoot,POST /jeecgboot/sys/version/saveVersion,id,"[""id"", ""result.id""]","[""version_id"", ""id""]",,
JeecgBoot,DELETE /jeecgboot/sys/comment/delete,id,"[""id"", ""result.id"", ""result.records[].id""]",comment_id,,
JeecgBoot,DELETE /jeecgboot/sys/comment/deleteBatch,ids,"[""ids""]","[""comment_id"", ""comment_ids""]",,
JeecgBoot,DELETE /jeecgboot/sys/comment/deleteOne,id,"[""id"", ""result.id"", ""result.records[].id""]",comment_id,,
JeecgBoot,GET /jeecgboot/sys/comment/fileList,id,"[""id""]","[""fileId"", ""comment_id""]",,
JeecgBoot,GET /jeecgboot/sys/comment/list,id,"[""id"", ""result.id"", ""result.records[].id""]",comment_id,,
JeecgBoot,GET /jeecgboot/sys/comment/listByForm,id,"[""id"", ""result.id"", ""result.records[].id""]",comment_id,,
JeecgBoot,GET /jeecgboot/sys/comment/queryById,id,"[""id"", ""result.id"", ""result.records[].id""]",comment_id,,
JeecgBoot,POST /jeecgboot/sys/comment/add,id,"[""id"", ""result.id"", ""result.records[].id""]",comment_id,,
TIME-SEA-chatgpt,POST /admin/drawing/status/{id},id,"[""id""]",drawing_id,,
TIME-SEA-chatgpt,POST /admin/exchange/delete/{id},id,"[""id""]",exchange_id,,
TIME-SEA-chatgpt,POST /drawing/image/delete/{id},id,"[""id""]","[""drawing_id"", ""drawingId""]",,
crapi,GET /community/api/v2/community/posts/recent,[].id,"[""postId"", ""id"", ""[].id""]","[""post_id"", ""postId""]",,
crapi,GET /community/api/v2/community/posts/{postId},id,"[""postId"", ""id"", ""[].id""]","[""post_id"", ""postId""]",,
crapi,POST /community/api/v2/community/posts,id,"[""postId"", ""id"", ""[].id""]","[""post_id"", ""postId""]",,
crapi,POST /community/api/v2/community/posts/{postId}/comment,comments[].id,"[""postId"", ""id"", ""[].id""]","[""post_id"", ""postId""]",,
crapi,GET /identity/api/v2/user/dashboard,id,"[""id"", ""number""]",user_id,,
crapi,GET /identity/api/v2/user/videos/{video_id},id,"[""id""]",video_id,,
crapi,POST /identity/api/v2/user/videos,id,"[""id""]",video_id,,
crapi,PUT /identity/api/v2/user/videos/{video_id},id,"[""id""]",video_id,,
crapi,GET /identity/api/v2/vehicle/vehicles,[].id,"[""[].id"", ""id"", ""carId"", ""vehicleId"", ""uuid""]",vehicle_id,,
ctfd,GET /api/v1/tokens,data[].id,"[""data[].id"", ""data.id"", ""id""]",token_id,,
ctfd,GET /api/v1/tokens/{token_id},data.id,"[""data[].id"", ""data.id"", ""id""]",token_id,,
ctfd,POST /api/v1/tokens,data.id,"[""data[].id"", ""data.id"", ""id""]",token_id,,
ctfd,GET /api/v1/awards,data[].id,"[""data[].id"", ""data.id"", ""id""]",award_id,,
ctfd,GET /api/v1/awards/{award_id},data.id,"[""data[].id"", ""data.id"", ""id""]",award_id,,
ctfd,POST /api/v1/awards,data[].id,"[""data[].id"", ""data.id"", ""id""]",award_id,,
ctfd,GET /api/v1/comments,data[].id,"[""data[].id"", ""data.id"", ""id""]",comment_id,,
ctfd,POST /api/v1/comments,data.id,"[""data[].id"", ""data.id"", ""id""]",comment_id,,
ctfd,GET /api/v1/files,data[].id,"[""data[].id"", ""data.id"", ""id""]",file_id,,
ctfd,GET /api/v1/files/{file_id},data.id,"[""data[].id"", ""data.id"", ""id""]",file_id,,
easyappointments,GET /appointments,[].id,"[""[].id"", ""id"", ""appointmentId""]","[""appointment_id"", ""appointmentId""]",,
easyappointments,GET /appointments/{appointmentId},id,"[""[].id"", ""id"", ""appointmentId""]","[""appointment_id"", ""appointmentId""]",,
easyappointments,POST /appointments,id,"[""[].id"", ""id"", ""appointmentId""]","[""appointment_id"", ""appointmentId""]",,
easyappointments,PUT /appointments/{appointmentId},id,"[""[].id"", ""id"", ""appointmentId""]","[""appointment_id"", ""appointmentId""]",,
easyappointments,GET /unavailabilities,[].id,"[""[].id"", ""id"", ""unavailabilityId""]","[""unavailability_id"", ""unavailabilityId""]",,
easyappointments,GET /unavailabilities/{unavailabilityId},id,"[""[].id"", ""id"", ""unavailabilityId""]","[""unavailability_id"", ""unavailabilityId""]",,
easyappointments,POST /unavailabilities,id,"[""[].id"", ""id"", ""unavailabilityId""]","[""unavailability_id"", ""unavailabilityId""]",,
easyappointments,PUT /unavailabilities/{unavailabilityId},id,"[""[].id"", ""id"", ""unavailabilityId""]","[""unavailability_id"", ""unavailabilityId""]",,
easyappointments,GET /customers,[].id,"[""[].id"", ""id"", ""customerId""]","[""customer_id"", ""customerId""]",,
easyappointments,GET /customers/{customerId},id,"[""[].id"", ""id"", ""customerId""]","[""customer_id"", ""customerId""]",,
gin-vue-admin,DELETE /api/deleteApisByIds,ids[],"[""ID"", ""ids[]""]",api_id,,
gin-vue-admin,POST /api/createApi,ID,"[""ID"", ""ids[]""]",api_id,,
gin-vue-admin,POST /api/deleteApi,ID,"[""ID"", ""ids[]""]",api_id,,
gin-vue-admin,POST /api/updateApi,ID,"[""ID"", ""ids[]""]",api_id,,
gin-vue-admin,POST /api/getAllApis,data.apis[].ID,"[""data.apis[].ID"", ""data.api.ID"", ""ID"", ""id""]",api_id,,
gin-vue-admin,POST /api/getApiById,data.api.ID,"[""data.apis[].ID"", ""data.api.ID"", ""ID"", ""id""]",api_id,,
gin-vue-admin,POST /api/getApiList,ID,"[""data.apis[].ID"", ""data.api.ID"", ""ID"", ""id""]",api_id,,
